XLabel,Wavenumber;;;;;;;;;
YLabel,Absorbance;;;;;;;;;
FileType,Absorbance;;;;;;;;;
DisplayDirection,20300;;Palha de cana de açúcar;;Bagaço de Malte;;Casca de babaçu;;Cana energia;
PeakDirection,20310;;;;;;;;;
650.420453,0.200126;;650,420453;0,200126;650,420453;0,21437;650,420453;0,070567;650,420453;0,130918
652.284122,0.197788;;652,284122;0,197788;652,284122;0,213902;652,284122;0,072013;652,284122;0,129688
654.147790,0.197127;;654,14779;0,197127;654,14779;0,212397;654,14779;0,073432;654,14779;0,129654
656.011459,0.194387;;656,011459;0,194387;656,011459;0,20919;656,011459;0,073464;656,011459;0,129482
657.875128,0.190383;;657,875128;0,190383;657,875128;0,208734;657,875128;0,073319;657,875128;0,132605
659.738797,0.190568;;659,738797;0,190568;659,738797;0,210039;659,738797;0,073443;659,738797;0,1368
661.602466,0.190222;;661,602466;0,190222;661,602466;0,210416;661,602466;0,070673;661,602466;0,137286
663.466135,0.187829;;663,466135;0,187829;663,466135;0,20896;663,466135;0,067436;663,466135;0,136952
665.329804,0.185817;;665,329804;0,185817;665,329804;0,205185;665,329804;0,067622;665,329804;0,136476
667.193473,0.185234;;667,193473;0,185234;667,193473;0,205461;667,193473;0,071453;667,193473;0,134558
669.057142,0.184755;;669,057142;0,184755;669,057142;0,20706;669,057142;0,073165;669,057142;0,1297
670.920811,0.180291;;670,920811;0,180291;670,920811;0,201976;670,920811;0,068297;670,920811;0,125545
672.784480,0.176062;;672,78448;0,176062;672,78448;0,198089;672,78448;0,066699;672,78448;0,122405
674.648149,0.173452;;674,648149;0,173452;674,648149;0,196541;674,648149;0,066462;674,648149;0,120463
676.511817,0.171589;;676,511817;0,171589;676,511817;0,193304;676,511817;0,063571;676,511817;0,117552
678.375486,0.170386;;678,375486;0,170386;678,375486;0,18997;678,375486;0,060292;678,375486;0,114933
680.239155,0.168060;;680,239155;0,16806;680,239155;0,188277;680,239155;0,059953;680,239155;0,11339
682.102824,0.165728;;682,102824;0,165728;682,102824;0,188817;682,102824;0,061483;682,102824;0,111867
683.966493,0.165254;;683,966493;0,165254;683,966493;0,18963;683,966493;0,061288;683,966493;0,110803
685.830162,0.163781;;685,830162;0,163781;685,830162;0,187775;685,830162;0,059768;685,830162;0,10977
687.693831,0.161641;;687,693831;0,161641;687,693831;0,186021;687,693831;0,059014;687,693831;0,109022
689.557500,0.161035;;689,5575;0,161035;689,5575;0,185205;689,5575;0,059429;689,5575;0,108995
691.421169,0.160428;;691,421169;0,160428;691,421169;0,183723;691,421169;0,059844;691,421169;0,109352
693.284838,0.158820;;693,284838;0,15882;693,284838;0,183771;693,284838;0,059549;693,284838;0,109635
695.148507,0.157086;;695,148507;0,157086;695,148507;0,184465;695,148507;0,05819;695,148507;0,108692
697.012176,0.155759;;697,012176;0,155759;697,012176;0,184494;697,012176;0,056986;697,012176;0,107518
698.875844,0.154387;;698,875844;0,154387;698,875844;0,183066;698,875844;0,056988;698,875844;0,106806
700.739513,0.153160;;700,739513;0,15316;700,739513;0,18113;700,739513;0,056834;700,739513;0,106803
702.603182,0.150929;;702,603182;0,150929;702,603182;0,179851;702,603182;0,056819;702,603182;0,106624
704.466851,0.148131;;704,466851;0,148131;704,466851;0,17931;704,466851;0,056977;704,466851;0,10632
706.330520,0.146513;;706,33052;0,146513;706,33052;0,177623;706,33052;0,056713;706,33052;0,105651
708.194189,0.145759;;708,194189;0,145759;708,194189;0,175953;708,194189;0,056239;708,194189;0,104508
710.057858,0.145127;;710,057858;0,145127;710,057858;0,175965;710,057858;0,055626;710,057858;0,103909
711.921527,0.145085;;711,921527;0,145085;711,921527;0,176444;711,921527;0,054818;711,921527;0,103474
713.785196,0.145605;;713,785196;0,145605;713,785196;0,176201;713,785196;0,05378;713,785196;0,102533
715.648865,0.147865;;715,648865;0,147865;715,648865;0,175297;715,648865;0,053994;715,648865;0,102523
717.512534,0.151918;;717,512534;0,151918;717,512534;0,174057;717,512534;0,054457;717,512534;0,102558
719.376203,0.153166;;719,376203;0,153166;719,376203;0,173255;719,376203;0,053832;719,376203;0,101569
721.239872,0.148531;;721,239872;0,148531;721,239872;0,171963;721,239872;0,053201;721,239872;0,10025
723.103540,0.143896;;723,10354;0,143896;723,10354;0,169727;723,10354;0,052891;723,10354;0,099444
724.967209,0.142266;;724,967209;0,142266;724,967209;0,166556;724,967209;0,052171;724,967209;0,098897
726.830878,0.142586;;726,830878;0,142586;726,830878;0,164268;726,830878;0,0514;726,830878;0,098023
728.694547,0.143796;;728,694547;0,143796;728,694547;0,162701;728,694547;0,051361;728,694547;0,097311
